cam_left_stamp,cam_right_stamp
1778013816755643588,1778013816756149280
1778013816788347984,1778013816789233514
1778013816817215079,1778013816817949318
1778013816848287965,1778013816848770632
1778013816878658785,1778013816879291346
1778013816905606853,1778013816905717618
1778013816938833122,1778013816939110477
1778013816973977278,1778013816976541066
1778013817004733015,1778013817006062750
1778013817032080892,1778013817032522442
1778013817064856656,1778013817065381614
1778013817096850701,1778013817098504868
1778013817127250712,1778013817128800043
1778013817155837660,1778013817156149248
1778013817188623136,1778013817189121004
1778013817220417302,1778013817221276171
1778013817252505511,1778013817253053194
1778013817281002086,1778013817281377099
1778013817315710245,1778013817316873228
1778013817347172632,1778013817347788332
1778013817368763235,1778013817368924780
1778013817413998250,1778013817419530665
1778013817436396276,1778013817440040634
1778013817472528517,1778013817473287881
1778013817498535751,1778013817499069264
1778013817528366933,1778013817528409640
1778013817562469446,1778013817562797055
1778013817593673094,1778013817593702423
1778013817621864635,1778013817622187997
1778013817653703633,1778013817653959517
1778013817686337628,1778013817686728028
1778013817719976645,1778013817720746912
1778013817743652438,1778013817743782994
1778013817780457799,1778013817781527416
1778013817809127292,1778013817809575425
1778013817835694942,1778013817840549433
1778013817873147157,1778013817874177340
1778013817905050013,1778013817905558490
1778013817933378075,1778013817930454760
1778013817959740299,1778013817954650239
1778013817994394556,1778013817990210211
1778013818025361279,1778013818021616082
1778013818054497258,1778013818053348881
1778013818081864331,1778013818082324271
1778013818109008888,1778013818111201202
1778013818140594382,1778013818141844355
1778013818172595138,1778013818173807870
1778013818199547567,1778013818200548700
1778013818233025783,1778013818232584324
1778013818265355889,1778013818263938571
1778013818289492147,1778013818292470658
1778013818331262507,1778013818330851570
1778013818355972559,1778013818355193620
1778013818391604610,1778013818391604295
1778013818424619439,1778013818424157052
1778013818454393605,1778013818454043785
1778013818484459863,1778013818484081629
1778013818515455767,1778013818515164231
1778013818542870376,1778013818542874011
1778013818575314340,1778013818574930839
1778013818607591255,1778013818609029321
1778013818640842855,1778013818644463867
1778013818671474653,1778013818675539097
1778013818702123967,1778013818706620213
1778013818731295578,1778013818734850341
1778013818758442943,1778013818765881018
1778013818791801395,1778013818793228103
1778013818827313189,1778013818826321517
1778013818858733082,1778013818858324196
1778013818886435395,1778013818885977087
1778013818919075188,1778013818918517058
1778013818951822198,1778013818950872824
1778013818981639629,1778013818980292380
1778013819010594102,1778013819009682739
1778013819047262102,1778013819046489190
1778013819079370315,1778013819078620479
1778013819110153681,1778013819110178202
1778013819136354415,1778013819136260572
1778013819169054482,1778013819168909654
1778013819202918563,1778013819203018088
1778013819234444090,1778013819232830781
1778013819266255466,1778013819266799793
1778013819289459212,1778013819289772114
1778013819320955961,1778013819320969695
1778013819348693890,1778013819348088160
1778013819380265170,1778013819379221847
1778013819411535643,1778013819410621460
1778013819443495640,1778013819442966162
1778013819471899418,1778013819471251283
1778013819503373354,1778013819502596535
1778013819536080551,1778013819535529505
1778013819568288280,1778013819567672127
1778013819595394596,1778013819594831827
1778013819627961185,1778013819627734136
1778013819659465950,1778013819658912944
1778013819690779382,1778013819690907365
1778013819720967935,1778013819720702050
1778013819752362709,1778013819751744473
1778013819782557900,1778013819781811425
1778013819809737706,1778013819813098435
1778013819846755480,1778013819846612876
1778013819881874059,1778013819880604958
1778013819912054059,1778013819910825026
1778013819939036925,1778013819937261580
1778013819970671564,1778013819968842041
1778013820002298445,1778013820001479101
1778013820034689473,1778013820033880708
1778013820062887678,1778013820064600173
1778013820093973475,1778013820095477371
1778013820126988575,1778013820132102986
1778013820161028087,1778013820163551893
1778013820193750273,1778013820193269815
1778013820220061521,1778013820219597574
1778013820253507482,1778013820252392535
1778013820280023156,1778013820283115133
1778013820311095201,1778013820309981728
1778013820344627140,1778013820343673197
1778013820376493751,1778013820375679013
1778013820402480484,1778013820401569032
1778013820434797682,1778013820433693754
1778013820466312137,1778013820465439723
1778013820497719213,1778013820496932727
1778013820524475117,1778013820523700606
1778013820557045737,1778013820556288496
1778013820588487058,1778013820587705497
1778013820619960077,1778013820619194125
1778013820649962376,1778013820649717682
1778013820684260865,1778013820683554969
1778013820713511222,1778013820712518911
1778013820741233018,1778013820744241165
1778013820773280011,1778013820772515465
1778013820805532443,1778013820804643603
1778013820837740172,1778013820836795849
1778013820865321069,1778013820864168893
1778013820897615192,1778013820896878991
1778013820930269590,1778013820929464323
1778013820960180090,1778013820960566237
1778013820983871980,1778013820987771622
1778013821013584887,1778013821020044700
1778013821043281063,1778013821049840950
1778013821073559490,1778013821076733552
1778013821111833489,1778013821117093931
1778013821137573142,1778013821142402346
1778013821169261487,1778013821173425692
1778013821200508885,1778013821206331843
1778013821234351204,1778013821233776153
1778013821268366338,1778013821266381512
1778013821300165556,1778013821297724415
1778013821328480265,1778013821326064074
1778013821359558221,1778013821358060898
1778013821392418477,1778013821393664232
1778013821424186481,1778013821425624463
1778013821452287776,1778013821453625349
1778013821483597821,1778013821484747349
1778013821514984276,1778013821516415423
1778013821548461517,1778013821549865420
1778013821577031278,1778013821578198524
1778013821608118483,1778013821609571235
1778013821640404446,1778013821641568698
1778013821668370618,1778013821673986161
1778013821700196169,1778013821701727636
1778013821731924905,1778013821733076701
1778013821763446728,1778013821764688607
1778013821790954426,1778013821792371085
1778013821825153352,1778013821826598850
1778013821858502755,1778013821857436350
1778013821890641056,1778013821889244158
1778013821919065209,1778013821917645341
1778013821950793026,1778013821949329861
1778013821981438924,1778013821980294468
1778013822016951366,1778013822012424562
1778013822047309935,1778013822043415746
1778013822073861966,1778013822070190245
1778013822104976828,1778013822101437981
1778013822132407445,1778013822132309476
1778013822165705491,1778013822162492572
1778013822199558528,1778013822196086967
1778013822231269456,1778013822227365811
1778013822258210713,1778013822254462815
1778013822290422239,1778013822286931594
1778013822320673306,1778013822317021625
1778013822352041388,1778013822348268628
1778013822382236889,1778013822378229533
1778013822414568089,1778013822412676621
1778013822444835196,1778013822443284308
1778013822476990961,1778013822475162973
1778013822505083413,1778013822503533535
1778013822537863106,1778013822536371696
1778013822569865078,1778013822568289770
1778013822602123206,1778013822600530442
1778013822629610261,1778013822628208771
1778013822660803734,1778013822659185708
1778013822692619215,1778013822690995790
1778013822720067565,1778013822718381011
1778013822751957069,1778013822750342525
1778013822783614108,1778013822785014769
1778013822816320196,1778013822818105779
1778013822845232497,1778013822846768188
1778013822874202688,1778013822877754758
1778013822901240025,1778013822909066302
1778013822930040448,1778013822944605370
1778013822969709959,1778013822976746879
1778013822996000341,1778013823001755299
1778013823028052214,1778013823033359911
1778013823061650622,1778013823065798002
1778013823092154437,1778013823094047777
1778013823124337276,1778013823125991175
1778013823156047680,1778013823158020498
1778013823183750605,1778013823190014207
1778013823215865192,1778013823217958125
1778013823247633268,1778013823249788173
1778013823280339758,1778013823282256185
1778013823307779706,1778013823309840683
1778013823341446721,1778013823343764663
1778013823373444747,1778013823375409393
1778013823405214544,1778013823407003569
1778013823433047180,1778013823434743721
1778013823464512644,1778013823466618521
1778013823496940256,1778013823499021631
1778013823528312024,1778013823530423601
1778013823555380632,1778013823557349807
1778013823587533400,1778013823589442595
1778013823620000774,1778013823621902251
1778013823648249945,1778013823651570793
1778013823680394506,1778013823677188372
1778013823711313690,1778013823706853484
1778013823743028556,1778013823736772291
1778013823770191441,1778013823761605237
1778013823802806240,1778013823794445979
1778013823835395579,1778013823827107309
1778013823867491306,1778013823858735007
1778013823901912268,1778013823897117533
1778013823927682495,1778013823922842726
1778013823959348005,1778013823954936659
1778013823991632286,1778013823988171657
1778013824019769602,1778013824018842182
1778013824051273272,1778013824050543356
1778013824083356019,1778013824082783086
1778013824111562657,1778013824114592158
1778013824143509370,1778013824142787883
1778013824175791068,1778013824175258977
1778013824208488139,1778013824208188622
1778013824235942731,1778013824235523920
1778013824268132539,1778013824269094714
1778013824300619167,1778013824302180436
1778013824332313520,1778013824333449737
1778013824360521143,1778013824362292630
1778013824392311848,1778013824395311300
1778013824424959121,1778013824426542348
1778013824456416432,1778013824456555149
1778013824484547841,1778013824485711025
1778013824516644538,1778013824516820674
1778013824548585298,1778013824549208441
1778013824576772698,1778013824581311416
1778013824608822732,1778013824609410113
1778013824640563102,1778013824641006754
1778013824673206203,1778013824673873722
1778013824701120329,1778013824701381066
1778013824732661234,1778013824732690300
1778013824764438040,1778013824764742025
1778013824793618136,1778013824796248893
