timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17886237,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.06,-0.32,0.05,0.00,0.00
17886247,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.08,-0.04,-0.41,0.05,0.00,0.00
17886257,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.01,1.83,0.06,0.00,0.00
17886267,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.08,0.03,-0.32,0.05,0.00,0.00
17886277,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.09,-0.01,-0.42,0.05,0.00,0.00
17886287,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.09,-0.01,-0.42,0.05,0.00,0.00
17886297,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-1.23,0.69,1.90,0.05,-0.00,0.00
17886307,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.07,1.70,0.07,0.00,0.00
17886317,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.04,-0.43,0.06,0.00,0.00
17886327,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.04,-0.43,0.06,0.00,0.00
17886337,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,-0.02,-0.52,0.06,0.00,0.00
17886347,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,0.04,-0.51,0.06,0.00,0.00
17886357,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.10,-0.04,1.72,0.06,-0.00,-0.00
17886367,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,0.03,-0.50,0.06,0.00,0.00
17886377,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.03,-0.55,0.06,0.00,0.00
17886387,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.03,-0.55,0.06,0.00,0.00
17886397,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,-0.05,-0.47,0.06,0.00,0.00
17886407,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.07,-0.09,-0.24,0.05,0.00,0.00
17886417,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.01,-0.40,0.06,0.00,0.00
17886427,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.01,-0.40,0.06,0.00,0.00
17886437,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.01,-0.48,0.06,0.00,0.00
17886447,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.05,-0.50,0.05,0.00,-0.00
17886457,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.05,-0.50,0.05,0.00,-0.00
17886467,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.07,1.69,0.06,-0.00,0.00
17886477,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.08,-0.49,0.06,0.00,-0.00
17886487,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.08,-0.49,0.06,0.00,-0.00
17886497,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,-0.08,-0.47,0.05,0.00,0.00
17886507,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,-0.08,-0.47,0.05,0.00,0.00
17886517,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.03,1.75,0.06,0.00,0.00
17886527,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.06,0.02,-0.47,0.06,0.00,-0.00
17886537,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.45,0.06,0.00,0.00
17886547,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.01,-0.53,0.05,0.00,0.00
17886557,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,-0.01,-0.43,0.05,-0.00,0.00
17886567,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.01,-0.49,0.05,-0.00,0.00
17886577,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,0.06,-0.42,0.05,0.00,0.00
17886587,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,-0.04,-0.40,0.05,0.00,0.00
17886597,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,0.05,-0.43,0.05,0.00,0.00
17886607,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.07,-0.01,-0.29,0.04,0.00,0.00
17886617,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.04,0.01,-0.31,0.05,0.00,0.00
17886627,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.02,-0.02,-0.31,0.04,-0.00,0.00
17886637,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.08,-0.32,0.04,0.00,0.00
17886647,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,-0.03,-0.24,0.04,0.00,0.00
17886657,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.05,-0.02,-0.24,0.04,-0.00,0.00
17886667,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.05,-0.24,0.04,0.00,0.00
17886677,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.00,-0.22,0.04,0.00,-0.00
17886687,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.06,-0.24,0.04,-0.00,0.00
17886697,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,-0.01,-0.22,0.04,0.00,0.00
17886707,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.03,-0.20,0.04,0.00,0.00
17886717,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.01,-0.22,0.04,0.00,0.00
