timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
731910,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,-0.02,-0.00,0.00
731920,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.01,0.00,-0.00
731930,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-1.17,-0.05,4.54,0.00,-0.00,0.00
731940,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-1.13,0.03,4.08,0.02,-0.00,0.01
731950,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-1.08,0.05,4.04,0.03,-0.00,0.01
731960,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-1.02,-0.06,3.51,0.04,-0.00,0.01
731970,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-1.04,-0.03,3.57,0.05,-0.00,0.01
731980,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.95,0.04,2.97,0.06,-0.00,0.01
731990,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.98,-0.02,3.00,0.06,-0.00,0.01
732000,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.88,-0.04,2.60,0.07,-0.00,0.01
732010,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.91,-0.01,2.60,0.07,-0.00,0.02
732020,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.85,-0.03,2.30,0.07,-0.00,0.01
732030,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.84,-0.01,2.38,0.07,-0.00,0.01
732040,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.76,-0.06,2.09,0.07,-0.00,0.02
732050,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.76,-0.06,2.09,0.07,-0.00,0.02
732060,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.67,-0.02,2.03,0.07,-0.01,0.02
732070,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.82,-0.05,1.85,0.07,-0.00,0.02
732080,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.68,-0.01,1.72,0.07,-0.00,0.02
732090,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.72,0.02,1.73,0.07,-0.00,0.02
732100,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.72,0.02,1.73,0.07,-0.00,0.02
732110,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.66,0.01,1.71,0.07,-0.00,0.02
732120,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.70,-0.06,1.48,0.07,-0.00,0.02
732130,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.70,-0.06,1.48,0.07,-0.00,0.02
732140,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.69,-0.06,1.46,0.07,-0.00,0.02
732150,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.68,-0.02,1.46,0.07,0.00,0.02
732160,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.59,-0.01,1.28,0.06,-0.00,0.02
732170,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.60,-0.01,1.35,0.07,-0.00,0.02
732180,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,1.06,0.52,0.77,0.00,0.03,0.15
732190,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.50,-0.02,1.28,0.00,0.03,0.15
732200,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.58,-0.00,1.15,0.01,0.03,0.15
732210,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.63,-0.02,1.16,0.02,0.03,0.14
732220,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.60,-0.04,1.08,0.03,0.03,0.13
732230,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.66,0.02,1.00,0.03,0.02,0.12
732240,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.57,-0.03,0.97,0.04,0.02,0.12
732250,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.60,-0.09,1.03,0.04,0.02,0.11
732260,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.57,-0.06,0.95,0.05,0.02,0.11
732270,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.49,-0.06,0.91,0.05,0.02,0.10
732280,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.53,-0.02,0.87,0.06,0.02,0.10
732290,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.56,-0.10,0.86,0.06,0.02,0.09
732300,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.54,-0.07,0.76,0.06,0.01,0.09
732310,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.51,-0.03,0.80,0.06,0.02,0.09
732320,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.52,-0.06,0.77,0.06,0.01,0.08
732330,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.55,-0.00,0.78,0.07,0.01,0.08
732340,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.54,-0.08,0.73,0.07,0.01,0.07
732350,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.55,-0.03,0.74,0.07,0.01,0.07
732360,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.54,-0.11,0.67,0.07,0.01,0.07
732370,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.52,0.01,0.69,0.07,0.01,0.06
732380,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.48,-0.04,0.63,0.07,0.01,0.06
732390,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,0.40,0.21,0.65,0.06,0.01,0.06
732400,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.52,-0.07,0.60,0.07,0.01,0.05
732410,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.44,-0.09,0.61,0.07,0.01,0.05
732420,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.45,-0.07,0.54,0.07,0.01,0.05
732430,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.44,0.01,0.56,0.07,0.01,0.04
732440,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.43,-0.03,0.53,0.07,0.01,0.05
732450,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.46,-0.10,0.53,0.07,0.01,0.04
732460,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.44,-0.03,0.50,0.07,0.01,0.04
732470,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.45,0.05,0.47,0.07,0.01,0.04
732480,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.41,-0.04,0.49,0.06,0.01,0.04
732490,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.41,0.04,0.52,0.07,0.01,0.03
732500,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.43,0.02,0.40,0.06,0.01,0.03
732511,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.40,-0.01,0.47,0.07,0.01,0.03
732520,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.40,-0.01,0.47,0.07,0.01,0.03
732530,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,0.49,0.21,0.43,0.06,0.02,0.03
732540,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.40,0.06,0.39,0.06,0.01,0.03
732550,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.42,-0.02,0.42,0.06,0.01,0.02
732560,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.36,-0.06,0.46,0.06,0.01,0.02
732570,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.34,0.02,0.42,0.06,0.01,0.03
732580,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.37,-0.02,0.36,0.06,0.01,0.02
732590,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.29,-0.01,0.38,0.06,0.01,0.02
732600,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.38,0.00,0.37,0.06,0.01,0.02
732610,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.36,0.02,0.34,0.06,0.01,0.02
732620,14.00,-14.00,14.00,-14.00,0.00,0.00,0.00,0.00,-0.29,0.02,0.35,0.06,0.01,0.02
