timestamp,object_id,x_meter,y_meter,depth_meter,class
1775389083.5150876,1,-0.0035303110750000023,-0.008626892200000002,0.14681878442500002,4
1775389083.5828629,1,-0.003914594857142859,-0.009656538832298138,0.14590686650931678,4
1775389083.670006,1,-0.0036896212075471745,-0.010874860075471698,0.1477421730062893,4
1775389083.8941448,1,-0.003217591185185189,-0.017536436740740742,0.14500620683950619,4
1775389083.9668858,1,-0.0031783522682926873,-0.017455504585365857,0.14323783846341465,4
1775389084.037488,1,-0.002948455382716054,-0.018612979950617288,0.14500620683950619,4
1775389084.1041114,1,-0.0022897501366459655,-0.021030451875776398,0.14590686650931678,4
1775389084.1780596,1,-0.0022897501366459655,-0.021030451875776398,0.14590686650931678,4
1775389084.254882,1,-0.002167811075000003,-0.0210256422,0.14681878442500002,4
1775389084.3520668,1,-0.0017481352298136695,-0.01899939597515528,0.14590686650931678,4
1775389084.4334412,1,-0.0006996717124183056,-0.017855573542483662,0.1535359837124183,4
1775389084.4995983,1,-0.0003990551698113236,-0.015262281459119497,0.1477421730062893,4
1775389084.5743258,1,-0.00026360615189873794,-0.014531030075949369,0.14867725005063293,4
1775389084.6431055,1,0.001501554211180119,-0.00911492392546584,0.14590686650931678,4
1775389084.7162888,0,-0.032810906261879685,-0.1013363689627527,1.9740341395827112,2
1775389084.7163854,1,0.002192188924999996,-0.004539392200000001,0.14681878442500002,4
1775389084.7846887,0,-0.03820074239372109,-0.11384411457008059,1.9685736510154277,2
1775389084.784801,1,0.0036221869403973463,-0.004521210278145696,0.15556957290066226,4
1775389084.857342,0,-0.02871482883489368,-0.10885752422582133,1.9447618443922856,2
1775389084.8574538,1,0.0036221869403973463,-0.004521210278145696,0.15556957290066226,4
1775389084.9371839,4,0.0895776958153846,0.0673061115076923,0.3614000847384615,0
1775389084.9524171,0,-0.03909205847900807,-0.12735096847082522,3.0282356190837794,2
1775389084.952507,1,0.005133894147651004,-0.002972501691275169,0.15765775508724833,4
1775389085.041811,1,0.006199663702702698,-0.0026979915675675687,0.1587230101891892,4
1775389085.112828,1,0.007849347895424835,-0.0006150506666666676,0.1535359837124183,4
1775389085.1787999,1,0.010263246543046355,-0.0006231970331125839,0.15556957290066226,4
1775389085.251289,1,0.01320756728947368,-0.0013362023157894747,0.15454608886842106,4
1775389085.3246417,1,0.014641777815789469,-0.0020533075789473695,0.15454608886842106,4
1775389085.3893678,3,0.037344688925,0.0314306078,0.14681878442500002,0
1775389085.4012487,1,0.017067688625850338,-0.0041993384489795935,0.15980275855782314,4
1775389085.4642017,4,0.16746300456000002,0.08880594496,0.46982011016,0
1775389085.476018,1,0.017099663702702696,-0.004170964540540541,0.1587230101891892,4
1775389085.5353253,3,0.03860217532919255,0.029204330732919254,0.14590686650931678,0
1775389085.547761,1,0.01888691428187919,-0.006337602362416108,0.15765775508724833,4
1775389085.6120834,3,0.03860217532919255,0.02906892700621118,0.14590686650931678,0
